Тема,Описание,Точка отказа,Серийный номер,Тип оборудования
Проблема с серийным номером СИЛА,"Добрый день! 
 Ранее мы отправляли к вам на ремонт ноутбук по заявке: 
 6452. СИЛА HK2-1404 // Устройство не включается // C223012272 
 Сейчас при настройке мы заметили, что у него серийный номер такой: C2223012272 
 Т.е. имеется лишняя 2-йка в серийном номере. 
 Скрины во вложении. 
 Можете подсказать, можно ли как-то его поменять или сохранится ли за ним гарантия, если так и оставить?",Консультация,C223012272,Ноутбук
НК2-1404 // Не работает Wi-FI (Кашира),На устройстве не работает WiFi,Wi-fi модуль,C223101219,Ноутбук
"Ноутбук СИЛА HK-1404 // замена блоков питания // ,","Добрый день! Не работают блоки питания, прошу заменить",Блок питания,"C223012682, C223011343, C223011380",Ноутбук
Драйвера для ноутбука СИЛА НК2-3404,Добрый день! Получили для тестирования один из ваших ноутбуков. Однако Win10 отказывается ставить даже половину драйверов. Если у вас имеется пак драйверов для Win 10 прошу предоставить,Консультация,C223090609,Ноутбук
Сервер СР2-5422 // Системные ошибки,"Добрый вечер! На сервере появились системные ошибки. Скрин и логи прилагаю.
Предварительно на 03.09.24 (совместно с работами по замене серверов) инженерам необходимо по возможности устранить проблему или согласовать новую платформу",Материнская плата,D251110041,Сервер
открыть кейс по неисправному диску на dd:  dd204.region..ru  Enclosure=2:Disk=12,"Добрый день. 
Коллеги, 
Прошу открыть кейс по неисправному диску на dd: dd204.region..ru - Disk 2.12 [SN: ZC1C5RLH] Enclosure=2:Disk=12
@dd204-p1(active:1)# alerts show current
Id       Post Time                  Severity   Class               Object                Message                                                               
------   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
p1-831   Thu Apr 11 12:17:03 2024   ERROR      SystemMaintenance                         EVT-SMTOOL-00001: Error communicating with mail server.               
m0-27    Tue May 14 21:41:28 2024   CRITICAL   HardwareFailure     Enclosure=2:Disk=12   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
------   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
There are 2 active alerts.
@dd204-p1(active:1)#
@dd204-p1(active:1)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9800      NVT10193200087   Online                          4 Slots
2           DS60        FCNCD191900145   Online                          60 Slots
3           DS60        FCNCD191900153   Online                          60 Slots
4           DS60        FCNCD191900069   Online                          60 Slots
5           DS60        FCNCD191900155   Online                          60 Slots
6           ES30        CKM00194101700   Online                          15 Slots
7           DS60        FCNCD191700370   Online                          60 Slots
---------   ---------   --------------   ------   --------   ---------   --------
7 enclosures present.
@dd204-p1(active:1)# system show model
Model number: DD9800
@dd204-p1(active:1)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15
--------------   ----------------------------------------------
1                 .  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  . |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  F |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  . |.  .  s |.  s  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  s |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  s |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  s |.  .  s |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
7                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |s  .  . |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
--------------   ----------------------------------------------
Legend   State                 Count
------   -------------------   -----
.        In Use Disks          257
s        Spare Disks           16
F        Failed Disks          1
-        Not Installed Disks   45
------   -------------------   -----
Total 274 disks
@dd204-p1(active:1)# disk show hardware
Disk         Slot   Manufacturer/Model                        Firmware   Serial No.                 Capacity    Type
(enc/disk)
----------   ----   ---------------------------------------   --------   ------------------------   ---------   --------
1.1          0      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG1927044V                372.6 GiB   SATA-SSD
1.2          1      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG19270455                372.6 GiB   SATA-SSD
1.3          2      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG1927045H                372.6 GiB   SATA-SSD
1.4          3      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG19270444                372.6 GiB   SATA-SSD
2.1          A0     SEAGATE STMFSND2CLAR4000                  BS03       ZC1C5ZX1                   3.6 TiB     SAS
2.2          A1     SEAGATE STMFSND2CLAR4000                  BS03       ZC1C5Z4F                   3.6 TiB     SAS
2.3          A2     SEAGATE STMFSND2CLAR4000                  BS03       ZC1C6116                   3.6 TiB     SAS
2.4  
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",Диск,CKM00194401300,СХД
Гарантия,Будьте добры сообщить адрес сервисного центра в г.Липецке,Диск,С222091091,Ноутбук
Ошибки диска Enclosure=4:Disk=49 dd501,"Коллеги, добрый день.
Прошу открыть заявку по неисправному диску на Data Domain
sysadmin@dd501-p1(active:1)# alerts show current
Id      Post Time                  Severity   Class             Object                Message
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
m0-40   Sun Aug 25 21:21:19 2024   CRITICAL   HardwareFailure   Enclosure=4:Disk=49   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
There is 1 active alert.
sysadmin@dd501-p1(active:1)# system show serialno
Serial number: CKM00194300974",Диск,CKM00194300974,Сервер
СИЛА НК2-1404  // Не работает зарядное устройство Type-C,"Не работает зарядное устройство Type-C СИЛА НК2-1404 
Ноутбук от другого устройста заряжается корректно.",Блок питания,C223010757,Ноутбук
вылетели 9 дисков и перезагрузилась резервная нода dd503,"Прошу открыть кейс.
Вылетели 9 дисков на датадомене dd503
Хронология:
Вылетели 2 диска,
перезагрузилась пассивная нода,
вылетели еще 7 дисков.
Дополнительно отобразилось уведомление <Active tier is low on spares>.
Все произошло в течении получаса.
@dd503-p1(active:1)# system show serial
Serial number: CKM01212505744
@dd503-p1(active:1)# system show model
Model number: DD9900 E
@dd503-p1(active:1)# alerts show current
Id      Post Time                  Severity   Class             Object                Message
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
m0-15   Wed Jan 31 22:17:26 2024   CRITICAL   HardwareFailure   Enclosure=2:Disk=59   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-16   Wed Jan 31 22:17:27 2024   CRITICAL   HardwareFailure   Enclosure=4:Disk=42   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-17   Wed Jan 31 22:33:23 2024   CRITICAL   HardwareFailure   Enclosure=2:Disk=2    EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-18   Wed Jan 31 22:33:25 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=6    EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-19   Wed Jan 31 22:33:26 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=17   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-20   Wed Jan 31 22:33:28 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=32   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-21   Wed Jan 31 22:33:29 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=50   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-22   Wed Jan 31 22:33:30 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=58   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-23   Wed Jan 31 22:33:31 2024   CRITICAL   HardwareFailure   Enclosure=4:Disk=24   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-24   Wed Jan 31 22:33:34 2024   WARNING    Storage           Tier=1                EVT-STORAGE-00013: Active tier is low on spares.
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
There are 10 active alerts.
@dd503-p1(active:1)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9900 E    CNWS30011F0045   Online                          4 Slots
2           DS60        52J5L83          Online                          60 Slots
3           DS60        28J5L83          Online                          60 Slots
4           DS60        91J5L83          Online                          60 Slots
5           DS60        42J5L83          Online                          60 Slots
6           FS25        1Y85L83          Online                          25 Slots
---------   ---------   --------------   ------   --------   ---------   --------
6 enclosures present.
@dd503-p1(active:1)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
--------------   ----------------------------------------------------------------------------
1                 s  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  F  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  F  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  F  . |.  .  s |.  .  s |F  .  R |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  R  . |
     C(25-36)    |.  .  . |.  .  . |.  F  . |.  .  . |
     B(13-24)    |.  .  . |.  F  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  F |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  F |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  F |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -
--------------   ----------------------------------------------------------------------------
Legend   State                          Count
------   ----------------------------   -----
.        In Use Disks                   188
s        Spare Disks                    10
R        Spare (reconstructing) Disks   2
F        Failed Disks                   9
-        Not Installed Disks            60
------   ----------------------------   -----
Total 209 disks
Disk    Disks       
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",Диск,CKM01212505744,СХД
HK2-1404,"Добрый день! 
 Прошу взять в гарантийный ремонт ноутбук СИЛА нк2-1404 C223013523 
 Неисправности: 
 Повреждена матрица ноутбука(видео прикладываю)",Матрица,C223013523,Ноутбук
СИЛА HK-1404 // Рябит экран,"Добрый день! Рябит экран, видео в описании",Матрица,C223012603,Ноутбук
гарантийный ремонт.Отпала клавиша,"Добрый день! 
 Ноутбук сила HK2-1404, sn C223013450 . 
 Отпала клавиша «8». Фото приложено 
 Прошу взять в гарантийный ремонт.",Клавиатура,C223013450,Ноутбук
Звук и микрофон не активны на ноутбуке Сила ruc223012961,перестали работать Звук и микрофон не активны на ноутбуке Сила ruc223012961,Материнская плата,c223012961,Ноутбук
вопрос по ремонту,"Добрый день!
В прошлом году покупали у Вас ноутбуки в количестве 20 
штук.
На данный момент на трех из них есть проблемы.
На первом не работает вентилятор, на втором проблема с экраном (скрин во 
вложении), на третьем тоже вентилятор + не переустанавливается ОС, 
ошибка при копировании установочных файлов.
Какие наши дальнейшие действия?
--",Матрица,C223012127,Ноутбук
Ноутбук СИЛА HK1-1427/ i5-1135G7/16G/m.2 512Gb/С111120102/инв. № 525600,"При подключение USB наушников, замедляется работа ПК и начинается самопроизвольно меняться раскладка языка на клавиатуре. Обновление драйверов ПК проблема не устранима, с другими наушниками ситуация такая же",Консультация,С111120102,Ноутбук
Не включается дисплей,Не включается дисплей,Материнская плата,C223093407,Ноутбук
HK2-1404 // Проблема с матрицей и портом type-c,"Добрый день!
На дисплее время от времени появляются полосы, иногда проходит само, если нет, то помогает перезагрузка.
Ещё не работает один порт type-c.",Материнская плата,C223012100,Ноутбук
СИЛА НК2-1404//нет звука,Будьте добры сообщить адрес сервисного центра в г.Липецке,Консультация,C222091827,Ноутбук
СИЛА НК2-1404 // Погнутость крышки // С223012632,"Добрый день, коллеги. Обнаружили погнутость крышки, фото во вложении. Хотим передать на диагностику",Корпус,C223012632,Ноутбук
Ноутбук СИЛА HK-1404 не заряжается с type-c портов,"Laptops: ноутбук не заряжается. Проверено несколько зарядок, работающих на других ноутбуках.
SILA NK2-1404 i7	C223011046",Материнская плата,C223011046,Ноутбук
Ноутбук Сила НК2-3404,"Добрый день.
Нам поступили ноутбуки Сила НК2-3404 и нужны драйвера для корпоративной Win 10 Версия 22H2",Консультация,"C223091216, C223091307, C223091468, C223091751, C223090099, C223090635, C223091364, C223091547, C223091736, C223091275, C223091861, C223090091, C223090302, C223090269, C223090214",Ноутбук
Ноутбук Сила HK2-3404 (SN: ),"Ноутбук Сила HK2-3404 (SN: C223091736)
Из коробки  индикация не реагирует на подключение блока питания.
Не включается.
Проверено несколько БП, оба порта USB type C",Материнская плата,C223091736,Ноутбук
Не включается SILA LLC HK2-3404,"Добрый день!
Подскажите пожалуйста что может, имею ПК SILA LLC HK2-3404 №C223094534.
Села батарейка при работе в автономном режиме, поставил на зарядку нажал на запуск запустился а потом выключился и больше не включается.
И не понятно идёт заряд или нет, что можно сделать",Материнская плата,C223094534,Ноутбук
СИЛА HK2-1404// Не работает зарядное устройство,Перестало работать зарядное устройство. С другим работает корректно,Блок питания,C223100876,Ноутбук
"Полосы на экране. полосы могут появиться не сразу, а через некоторое время после включения","Полосы на экране. полосы могут появиться не сразу, а через некоторое время после включения.",Матрица,C223090696,Ноутбук
Заряд аккумулятора,"Не держит заряд, хотя недавно был полный",Аккумулятор,C223100567,Ноутбук
СИЛА НК2-3205,"Добрый день,
У нас возникли проблемы с несколькими ноутбуками.
Серийный номер C233041042",Программное обеспечение,C233041042,Ноутбук
СИЛА HK2-1404,На ноутбуке крашится SSD,Оперативная память,C223012059,Ноутбук
Сервер СИЛА СР2-5422,"Добрый день.
На сервере вышел из строя сетевой модуль.",SFP модуль,D252110012,Сервер
HK2- 1404,"Добрый день, не работают звук на ноутбуке, причина неизвестна.",Jack,C223011358,Ноутбук
IBS. СИЛА хрипит левый динамик,Добрый день! На ноутбуке C111120016 хрипит левый динамик.,Динамики,C111120016,Ноутбук
СИЛА НК2-1404,"Добрый день, коллеги. Обнаружили деформацию крышки корпуса ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Заряд аккумулятора,"Быстро разряжается, несмотря на недавнюю полную зарядку",Аккумулятор,C223100567,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовместимостью программного обеспечения. Серийный номер нашего устройства C233041042.",Программное обеспечение,C233041042,Ноутбук
Сервер СИЛА СР2-5422,Добрый день. На сервере вышел из строя сетевой модуль SFP с серийным номером D252110012.,SFP модуль,D252110012,Сервер
СИЛА НК2-1404,"Добрый день, коллеги. Обнаружили деформацию крышки на устройстве с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Ноутбук НК2-1404,"Нестабильно работает Wi-Fi, периодически пропадает соединение.",Wi-fi антенна,C223012010,Ноутбук
Заряд аккумулятора,"Быстро теряет заряд, даже после полной зарядки",Аккумулятор,C223100567,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением серийных номеров на оборудовании.",Программное обеспечение,C233041042,Ноутбук
SLA-1404,На устройстве возникают сбои с накопителем,Оперативная память,C223012059,Ноутбук
Сервер СИЛА СР2-5422,Добрый день. На сервере вышла из строя сетевая карта.,SFP модуль,D252110012,Сервер
HK2-1404,"Добрый день, не функционирует звук на ноутбуке, при подключении наушников звук не воспроизводится.",Jack,C223011358,Ноутбук
Ноутбук,Сила НК2-1404 v2  SN: C223100312 не работает совсем,Wi-fi модуль,C223100312,Ноутбук
Ноутбук НК2-1404,"Периодически пропадает подключение к Wi-Fi, возникают ошибки при установлении соединения.",Wi-fi антенна,C223012010,Ноутбук
Проблема с клавиатурой ноутбука,Добрый день! Перестали работать некоторые клавиши на клавиатуре моего ноутбука.,Клавиатура,C222090998,Ноутбук
HK2-1404,"Добрый день, не функционирует звук на ноутбуке, при подключении наушников звук не работает.",Jack,C223011358,Ноутбук
Ноутбук,Сила НК2-1404 v2 не работает с Wi-Fi после обновления драйверов,Wi-fi модуль,C223100312,Ноутбук
Ноутбук НК2-1404,"Нестабильно работает Wi-Fi, периодически пропадает соединение...",Wi-fi антенна,C223012010,Ноутбук
Проблема с клавиатурой ноутбука,Добрый день! Не работают некоторые клавиши на клавиатуре моего ноутбука.,Клавиатура,C222090998,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением серийных номеров в программном обеспечении.",Программное обеспечение,C233041042,Ноутбук
SLA на HK2-1404,На ноутбуке нестабильно работает накопитель,Оперативная память,C223012059,Ноутбук
HK2- 1404,"Добрый день, не работают звук на ноутбуке, проблема с разъемом Jack, серийный номер C223011358.",Jack,C223011358,Ноутбук
IBS. СИЛА хрипит левый динамик,Добрый день! На устройстве с серийным номером C111120016 наблюдается хрипение левого динамика.,Динамики,C111120016,Ноутбук
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC вентилятор на сервере начал работать с перебоями.,Вентилятор,D251110031,Сервер
Ноутбук СИЛА НК2-1404,Добрый день! Нужна гарантийная замена модуля Wi-Fi.,Wi-fi модуль,C223012840,Ноутбук
СИЛА НК2-1404,При работе ноутбука слышен треск вентиляторов,Вентилятор,C223012410,Ноутбук
Проблемы с ноутбуком NB2-1404,"Добрый день, коллеги. Мы обнаружили деформацию корпуса на нашем устройстве с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Проблема с клавиатурой ноутбука,Добрый день! Не работают некоторые клавиши на моей клавиатуре.,Клавиатура,C222090998,Ноутбук
Заряд аккумулятора,"Быстро разряжается, даже после полной зарядки",Аккумулятор,C223100567,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением серийного номера и типа оборудования.",Программное обеспечение,C233041042,Ноутбук
SLA-1404,На устройстве периодически возникают ошибки с накопителем,Оперативная память,C223012059,Ноутбук
Сервер СИЛА СР2-5422,Добрый день. На нашем сервере возникла проблема с сетевым оборудованием.,SFP модуль,D252110012,Сервер
IBS. Хрипит левый динамик,Добрый день! На ноутбуке C111120016 не работает левый динамик.,Динамики,C111120016,Ноутбук
Ноутбук,Система HP 290 G2 SN: C223100312 не функционирует должным образом с...,Wi-fi модуль,C223100312,Ноутбук
Ноутбук НК2-1404,"Периодически пропадает подключение к Wi-Fi, возможно, проблема с драйверами беспроводного адаптера.",Wi-fi антенна,C223012010,Ноутбук
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030011",Сервер,D252030011,Сервер
HK2- 1404,"Добрый день, залипание клавиш при печати F ...",Клавиатура,C223010731,Ноутбук
SLA-1404,На ноутбуке происходит сбой накопителя SSD,Оперативная память,C223012059,Ноутбук
HK2-1404,"Добрый день, не функционирует звук на ноутбуке, проблема с разъемом Jack, серийный номер C223011358.",Jack,C223011358,Ноутбук
IBS. СИЛА хрипит левый динамик,Добрый день! На устройстве C111120016 наблюдается хрипение левого динамика.,Динамики,C111120016,Ноутбук
Ноутбук НК2-1404,"Периодически пропадает подключение к Wi-Fi, возможны обрывы связи.",Wi-fi антенна,C223012010,Ноутбук
Проблемы с ноутбуком NB2-1404,"Добрый день, коллеги. Мы обнаружили деформацию корпуса и трещины на экране ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC возникли проблемы с вентилятором.,Вентилятор,D251110031,Сервер
Неисправность сервера,"Коллеги, добрый день.",Сервер,D252030012,Сервер
HK2-1404,"Добрый день, не работает звук на ноутбуке...",Jack,C223011358,Ноутбук
IBS. СИЛА хрипит левый динамик,Добрый день! На устройстве C111120016 наблюдается проблема с левым динамиком.,Динамики,C111120016,Ноутбук
Ноутбук,Сбой в работе модели Сила НК2-1404 v2 после обновления драйверов беспроводной сети,Wi-fi модуль,C223100312,Ноутбук
Неисправность сервера,"Добрый день, коллеги. К сожалению, наш сервер с серийным номером D252030012 вышел из строя.",Сервер,D252030012,Сервер
Заряд аккумулятора,Быстро теряет заряд после полной зарядки,Аккумулятор,C223100567,Ноутбук
HK2-1404,"Добрый день, не функционирует аудио на компьютере...",Jack,C223011358,Ноутбук
Ноутбук НК2-1404,"Нестабильно работает Wi-Fi, периодически пропадает соединение",Wi-fi антенна,C223012010,Ноутбук
Проблемы с охлаждением ноутбука,При работе ноутбука слышен шум от вентиляторов,Вентилятор,C223012410,Ноутбук
СИЛА НК2-1404 // не работает LAN порт // С2220,Добрый день. Ноутбук СИЛА. Не работает LAN порт. Серийный номер С222090774.,Wi-fi модуль,С222090774,Ноутбук
Проблемы с СХД,Вылетели 9 дисков и перезагрузилась резервная система.,Диск,CKM01212505744,СХД
Неисправность сервера,"Добрый день, коллеги.
Прошу принять запрос на ремонт оборудования с серийным номером D252030013.",Сервер,D252030013,Сервер
Обновление BMC Cube для Zabbix,"Доброго времени суток! У нас есть обновленная версия BMC Cube для Zabbix, которую мы хотели бы вам предложить.",Консультация,D263120004,Сервер
гарантийный ремонт,"Добрый день! Ноутбук HK2-1404, серийный номер C223013450. Отпала клавиша.",Клавиатура,C223013450,Ноутбук
Ноутбук,Проблемы с работой модели Сила НК2-1404 v2 после обновления драйверов беспроводной сети,Wi-fi модуль,C223100312,Ноутбук
Проблемы с ноутбуком NB2-1404,"Добрый день, коллеги. Мы обнаружили повреждение корпуса ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Гарантия,"Пожалуйста, уточните контактные данные ближайшего авторизованного сервисного центра...",Диск,С222091091,Ноутбук
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030021",Сервер,D252030021,Сервер
Заряд аккумулятора,"Не держит заряд, использовался в течение нескольких лет",Аккумулятор,C223100567,Ноутбук
HK2-1404,"Добрый день, не функционирует звук на ноутбуке, конкретно проблема с разъемом Jack.",Jack,C223011358,Ноутбук
СИЛА НК2-1404,При работе ноутбука слышен шум от системы охлаждения,Вентилятор,C223012410,Ноутбук
Ноутбук,"Система HP 290 G2 не функционирует должным образом, проблема с Wi-Fi модулем",Wi-fi модуль,C223100312,Ноутбук
Открыть кейс по неисправному диску,Добрый день. Прошу открыть дело по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Драйвера для ноутбука,Доброго дня! Ми отримали для тестування один з моделей ноутбуків.,Консультация,C223090609,Ноутбук
SLA-7654,На компьютере не работает видеокарта,Оперативная память,C223012059,Ноутбук
Проблемы с динамиком,Добрый день! На ноутбуке C111120016 не работает левый динамик.,Динамики,C111120016,Ноутбук
Ноутбук НК2-1404,"Периодически пропадает подключение к Wi-Fi, возникают сбои в работе беспроводной сети.",Wi-fi антенна,C223012010,Ноутбук
НК2-1404,Не удается подключиться к Wi-Fi сети,Wi-fi модуль,C223101219,Ноутбук
Проблемы с ноутбуком NB2-1404,"Добрый день, коллеги. Мы обнаружили искривление корпуса ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Открыть кейс по неисправному диску,Добрый день. Прошу открыть кейс по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Ноутбук,"При подключении USB наушников, система начинает заметно тормозить.",Консультация,С111120102,Ноутбук
HK2-1404,"Добрый день, некорректная работа клавиш F при печати...",Клавиатура,C223010731,Ноутбук
СИЛА НК2-3205,"Добрый день, у нас возникли проблемы с несовпадением серийного номера ноутбука.",Программное обеспечение,C233041042,Ноутбук
Проблемы с сервером СИЛА СР2-5422,"Добрый день. На нашем сервере возникла проблема с SFP модулем, серийный номер D252110012.",SFP модуль,D252110012,Сервер
Ноутбук НК2-1404,"Периодически пропадает подключение к Wi-Fi, требуется перезагрузка для восстановления соединения.",Wi-fi антенна,C223012010,Ноутбук
Гарантийный ремонт ноутбука СИЛА НК2-1404 v2,Прошу принять в гарантийный ремонт ноутбук с проблемой с диском.,Диск,C223011138,Ноутбук
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030010",Сервер,D252030009,Сервер
СИЛА НК2-1404//нет звука,Прошу предоставить информацию о ближайшем сервисном центре...,Консультация,C222091827,Ноутбук
Заряд аккумулятора,Быстро разряжается после полной зарядки,Аккумулятор,C223100567,Ноутбук
SLA-1404,На устройстве происходит сбой накопителя SSD,Оперативная память,C223012059,Ноутбук
Проблемы с сервером,Добрый день. На нашем сервере возникли проблемы с оборудованием...,SFP модуль,D252110012,Сервер
IBS. СИЛА хрипит левый динамик,Добрый день! На устройстве с серийным номером C111120016 наблюдается проблема с левым динамиком.,Динамики,C111120016,Ноутбук
Проблемы с охлаждением ноутбука,При работе ноутбука слышен треск вентиляторов,Вентилятор,C223012410,Ноутбук
Ноутбук,Система HP 290 G2 не функционирует должным образом. Серийный номер: C223100312.,Wi-fi модуль,C223100312,Ноутбук
Неисправность сервера,"Добрый день, коллеги. Прошу принять информацию о необходимости замены сервера с серийным номером D252030019.",Сервер,D252030019,Сервер
Не работает зарядка Type-C,Проблемы с зарядным устройством Type-C,Блок питания,C223101296,Ноутбук
